id;name;birthdate
1568;Willi Patterson;2006-07-27
1569;Gaspard Manesse;1985-06-07
1570;Francine Racette;1950-03-04
1571;Cristina Raines;2007-12-28
1572;Franco Rossi;1969-12-01
1573;Vera Ralston;1965-01-26
1574;George Waggner;1955-01-20
1575;Charlotte Rampling;1979-09-24
1576;Bubba Smith;1947-02-07
1577;Marion Ramsey;1966-12-27
1578;Peter Bonerz;1955-04-23
1579;George Gaynes;1942-05-11
1580;Alan Myerson;1970-06-19
1581;Steve Guttenberg;1956-04-03
1582;Jerry Paris;1966-11-10
1583;Linda Hopkins;1953-04-03
1584;Vi Redd;1946-12-04
1585;Vanessa Fonda;1975-02-12
1586;Jane Redgrave;1943-08-12
1587;Vanessa Redgrave;1950-03-28
1588;Donna Reed;1957-01-01
1589;Alex Segal;1977-10-08
1590;Pamela Reed;1943-07-21
1591;Roger Spottiswoode;1980-03-18
1592;Kate Reid;1969-07-26
1593;Volker Schlöndorff;2002-11-24
1594;Debbie Reynolds;1980-09-12
1595;Laurence Luckinbill;1949-01-19
1596;Elizabeth Richards;1963-02-18
1597;Miranda Richardson;1996-06-16
1598;Natasha Richardson;1989-04-20
1599;Paul Schrader;1951-08-23
1600;George Lazenby;1969-11-26
1601;Diana Rigg;1944-05-21
1602;Molly Ringwald;1994-01-17
1603;Howard Deutch;1996-09-24
1604;Tex Ritter;1981-03-13
1605;Vincent Gauthier;1985-03-01
1606;Marie Riviere;1964-02-12
1607;Eric Rohmer;1975-06-16
1608;Laila Robbins;1943-08-09
1609;Julia Roberts;2008-11-15
1610;Kiefer Sutherland;1985-01-13
1611;Joel Schumacher;1980-04-19
1612;Frances Robinson;1999-01-20
1613;Fred Astaire;2006-07-16
1614;Ginger Rogers;1977-10-24
1615;Mimi Rogers;1957-09-09
1616;Michael Cimino;1940-07-17
1617;Michael Keaton;1941-04-22
1618;Baz Taylor;1991-12-23
1619;Farley Granger;1950-05-12
1620;Ruth Roman;1962-12-07
1621;Robert Totten;2000-05-12
1622;Cliff De Young;1941-01-01
1623;Jamie Rose;2008-07-27
1624;Louis Morneau;1942-05-23
1625;Katharine Ross;1953-02-01
1626;Jackie Cooper;1994-01-25
1627;Isabella Rossellini;1968-11-12
1628;Ted Danson;2002-07-24
1629;Jean Carmet;1975-07-11
1630;Catherine Rouvel;1997-10-22
1631;Jean-Jacques Annaud;1947-12-11
1632;Gena Rowlands;1971-10-25
1633;Roberto Benigni;1997-12-08
1634;Alan Boyce;1993-03-15
1635;Jennifer Rubin;1999-10-19
1636;Marisa Silver;2000-10-07
1637;Mercedes Ruehl;1977-09-08
1638;Richard Pryor;1973-06-02
1639;Maurice Phillips;1993-10-14
1640;Barbara Rush;1958-06-08
1641;Leif Garrett;1980-08-10
1642;Betsy Russell;1971-12-14
1643;John Quinn;1977-08-22
1644;Ernie Hudson;1942-04-04
1645;Gail Russell;1959-11-24
1646;James Edward Grant;1986-02-17
1647;Jeff Fahey;1942-01-08
1648;Theresa Russell;2002-06-03
1649;Gary Oldman;2006-12-14
1650;Rene Russo;1950-11-20
1651;Ann Rutherford;2002-05-14
1652;Margaret Rutherford;1972-12-06
1653;Meg Ryan;1951-11-16
1654;John Patrick;1955-03-02
1655;Val Kilmer;1979-04-23
1656;Winona Ryder;1977-09-20
1657;Jim Abrahams;1997-07-08
1658;Eva Marie Saint;1989-10-15
1659;Paul Bogart;1987-11-27
1660;Otto Preminger;1988-04-17
1661;Ken Ogata;1996-04-16
1662;Sumiko Sakamoto;1996-10-02
1663;Shohei Imamura;1972-01-24
1664;Martin Sheen;1943-02-11
1665;Jennifer Salt;1946-03-06
1666;Lino Capolicchio;1971-03-05
1667;Dominique Sanda;1986-07-26
1668;Fred Haines;1961-07-05
1669;Pierre Clementi;1970-09-18
1670;Stefania Sandrelli;1987-04-15
1671;Reni Santoni;1964-12-25
1672;Mia Sara;1959-12-01
1673;Susan Sarandon;1961-01-24
1674;Glenn Jordan;1966-02-18
1675;Euzhan Palcy;1946-08-18
1676;Charles Gray;1975-11-16
1677;Jim Sharman;1990-01-12
1678;Vyacheslav Tikhonov;1977-11-16
1679;Lyudmila Savelyeva;1955-03-11
1680;Sergei Bondarchuk;2002-05-14
1681;Denholm Elliott;1943-05-04
1682;Greta Scacchi;1985-07-06
1683;Prunella Scales;1990-02-21
1684;Bill Pullman;1944-09-08
1685;Wendy Schaal;1947-03-11
1686;Mark W. Travis;1983-04-07
1687;Sabrina Scharf;1950-07-01
1688;Maria Schneider;1991-07-23
1689;Michelangelo Antonioni;1957-10-23
1690;Marc Singer;1944-12-13
1691;Lisa Schrage;1951-05-20
1692;Stuart Gillard;1947-04-08
1693;Theodor Loos;1971-10-19
1694;Margarete Schön;1983-10-09
1695;Brenda Scott;1962-04-18
1696;Paul Wendkos;1984-08-26
1697;Judge Reinhold;1971-06-08
1698;Jane Seymour;1965-07-23
1699;Ken Finkleman;1984-05-07
1700;Fernando Rey;1960-03-17
1701;Delphine Seyrig;1975-05-25
1702;Luis Bunuel;1977-10-24
1703;Ally Sheedy;1991-09-15
1704;Michelle Manning;1963-03-21
1705;Rick Rosenthal;1993-12-18
1706;Michael O'Keefe;1943-04-12
1707;Carole Shelley;1999-10-12
1708;Timothy Bottoms;1995-12-02
1709;Cybill Shepherd;1985-05-06
1710;Howard Hessman;1940-06-08
1711;Brooke Shields;1990-03-22
1712;Martin Hewitt;1977-03-20
1713;Franco Zeffirelli;1990-11-20
1714;Talia Shire;2008-03-28
1715;Elisabeth Shue;1973-12-26
1716;Oskar Homolka;1949-04-28
1717;Sylvia Sidney;1946-02-20
1718;Samy Ben Youb;1985-08-24
1719;Simone Signoret;1943-11-21
1720;Moshe Mizrahi;1941-10-24
1721;Milton Berle;1983-01-01
1722;Beverly Sills;2001-12-06
1723;Jean Simmons;1983-09-04
1724;Madge Sinclair;1985-05-25
1725;Sidney Poitier;2000-06-21
1726;Lilia Skala;1993-06-04
1727;Crispin Glover;1952-07-05
1728;Ione Skye;2003-08-25
1729;Tim Hunter;1965-11-03
1730;Helen Slater;1991-10-11
1731;Michael J. Fox;1979-01-15
1732;Josef Kroner;1949-06-12
1733;Hana Slivoka;2005-05-21
1734;Jan Kadar;1979-12-06
1735;Madolyn Smith;1993-04-09
1736;Bob Hoskins;1987-09-04
1737;Maggie Smith;1963-05-26
1738;Jack Clayton;1940-07-20
1739;Yeardley Smith;1940-04-03
1740;Stephen King;1959-05-07
1741;Carrie Snodgress;1998-05-28
1742;Meredith Baxter Birney;1943-12-24
1743;Victoria Snow;1956-05-10
1744;Tony Wharmby;1987-10-27
1745;Alexandre Sterling;1963-01-22
1746;Jane Snowden;2000-05-18
1747;Jeff Hutchinson;1979-09-20
1748;Suzanne Solari;1962-04-21
1749;Donald G Jackson;1988-08-22
1750;Elke Sommer;1970-04-06
1751;Stuart Whitman;1967-07-25
1752;Jack Lemmon;2007-09-23
1753;Sissy Spacek;1989-05-18
1754;Steve Bond;1987-07-19
1755;Dona Speir;1976-02-11
1756;Ronn Moss;1948-07-07
1757;Jill St. John;1975-08-24
1758;Barbara Stanwyck;1992-03-17
1759;Alfred E. Green;1977-08-28
1760;Rudolph Mate;1994-05-08
1761;Don Ameche;1945-12-07
1762;Maureen Stapleton;1975-09-22
1763;Alison Steadman;1948-07-10
1764;Christopher Morahan;1940-05-08
1765;Mary Steenburgen;1974-01-09
1766;Frances Sternhagen;1972-08-10
1767;Inger Stevens;2002-10-11
1768;Sharon Stone;1973-02-20
1769;Paul Verhoeven;1957-02-26
1770;Madeleine Stowe;1949-05-17
1771;John Rhys-Davies;1943-06-01
1772;Julie Strain;1943-01-07
1773;Jean-Paul Ouellette;1944-04-20
1774;Susan Strasberg;1960-09-24
1775;Roger Corman;1944-09-02
1776;Meryl Streep;1975-03-02
1777;Albert Brooks;1971-10-04
1778;Ulu Grosbard;1987-10-04
1779;Kevin Kline;1955-12-08
1780;Karel Reisz;1976-06-14
1781;Charles Dance;1968-12-07
1782;Ed Begley Jr.;1960-07-11
1783;Robert Zemeckis;1969-04-03
1784;Robin Whyatt;1965-10-15
1785;Barbra Streisand;2004-07-08
1786;Mandy Patinkin;1947-11-06
1787;Daniel J. Travanti;1954-02-25
1788;Imogen Stubbs;1963-04-06
1789;Philip Saville Towns;2007-06-02
1790;Yoshitaka Zushi;1958-02-02
1791;Kin Sugai;1998-08-08
1792;Barbara Sukowa;1993-06-04
1793;Margaret Sullavan;1953-08-27
1794;John Cromwell;2010-05-01
1795;Miles O'Keeffe;1995-08-08
1796;Emma Sutton;1964-08-07
1797;Stephen Weeks;1999-03-01
1798;Doris Svedlund;1963-08-27
1799;Morgan Freeman;1972-04-23
1800;Jessica Tandy;1942-12-11
1801;Henry Ramer;1945-07-11
1802;Elizabeth Taylor;1989-06-24
1803;Lou Antonio;1941-01-16
1804;Montgomery Clift;1971-08-14
1805;Ian Bannen;1973-01-17
1806;Giuseppe Patroni Griffi;2004-01-23
1807;Brian G. Hutton;1983-02-03
1808;Joseph Losey;1992-10-03
1809;Len Cariou;1994-12-11
1810;Harold Prince;2000-01-19
1811;Rock Hudson;1941-12-25
1812;Richard A. Dysart;1950-09-06
1813;Gus Trikonis;2000-06-08
1814;Fred M Wilcox;1984-11-24
1815;Gary Cooper;1971-08-04
1816;Eddie Fisher;1977-10-23
1817;Van Johnson;1987-05-07
1818;Richard Dix;1958-02-07
1819;Estelle Taylor;1996-08-27
1820;Wesley Ruggles;1966-06-27
1821;Lloyd Bridges;1974-11-24
1822;Joan Taylor;1989-05-07
1823;John Webb;1975-11-16
1824;Karen Taylor;1982-05-21
1825;William Moses;1969-08-07
1826;Lili Taylor;1978-04-27
1827;Donald Petrie;2010-12-14
1828;River Phoenix;1991-03-19
1829;Nancy Savoca;1945-10-24
1830;Rex the Wonder Horse;1964-05-26
1831;Norma Taylor;1981-05-23
1832;Ford Beebe;1960-07-05
1833;Carl Morrow;2010-01-22
1834;Victoria Taylor;1997-05-24
1835;Jolyon Wimhurst;1990-07-12
1836;Bob Newhart;1978-01-10
1837;Leigh Taylor-Young;1981-01-25
1838;Shirley Temple;1968-01-02
1839;Cesar Romero;1975-02-10
1840;Ricky Busker;1960-01-24
1841;Brynn Thayer;1944-05-16
1842;Robert Mandel;1982-03-09
1843;Nocholas Strouse;2003-01-17
1844;Andrea Thompson;1962-05-19
1845;Charles Matthau;1998-12-26
1846;Lea Thompson;1992-01-14
1847;M. Emmet Walsh;1965-12-22
1848;Ingrid Thulin;1977-10-10
1849;Rachel Ticotin;2007-03-02
1850;Michael Apted;1949-06-14
1851;Charlene Tilton;1964-10-18
1852;Beverly Todd;1964-05-10
1853;Constance Towers;1947-01-22
1854;William Holden;1963-12-21
1855;Claire Trevor;1953-01-22
1856;George Marshall;1993-04-28
1857;Kathleen Turner;1971-06-14
1858;Bill Couturie;1956-10-07
1859;Lewis Teague;1953-12-28
1860;Robert  Zemeckis;2008-09-25
1861;Lana Turner;1990-11-24
1862;John Farrow;2007-06-24
1863;Barry Primus;1970-09-12
1864;Shannon Tweed;2008-03-03
1865;J.F. Lawton;1972-11-05
1866;Barry Jackson;2001-04-07
1867;Margaret Tyzack;1947-10-27
1868;Roy Battersby;1988-06-07
1869;Keir Dullea;1991-07-23
1870;Liv Ullman;1980-05-10
1871;Richard Dembo;1974-07-04
1872;Miyoshi Umeki;1956-07-27
1873;Joshua Logan;1993-06-15
1874;Mary Ure;1985-02-21
1875;Brian G. Hulton;1999-07-13
1876;Susan Ursitti;1968-12-19
1877;Robert Davi;1985-05-10
1878;Kari Vaananen;1950-04-06
1879;Mika Kaurismäki;1947-08-17
1880;Lindsay Wagner;1987-03-28
1881;Brigitta Valberg;1967-01-21
1882;Giulio Brogi;2003-10-09
1883;Alida Valli;2009-02-11
1884;Jessica Walter;2000-10-05
1885;Tony Danza;2010-02-13
1886;Jeremy Joe Kronsberg;1980-01-11
1887;Jo Van Fleet;1982-04-23
1888;Peter Bergman;1970-04-21
1889;Deborah Van Valkenburgh;1953-11-14
1890;Allen Plone;1979-10-06
1891;Paul Ganus;1979-05-25
1892;Megan Ward;1959-03-16
1893;Jason Patric;1986-07-10
1894;Rachel Ward;2003-02-16
1895;Nicholas Rowe;1965-03-11
1896;Sophie Ward;2000-12-26
1897;Julie Warner;1994-01-18
1898;Michael Caton-Jones;1960-04-26
1899;Peter Coyote;1997-11-05
1900;Lesley Ann Warren;1977-10-07
1901;Bobby Roth;1958-05-18
1902;Sigourney Weaver;1948-11-05
1903;Charles Dutton;1984-02-25
1904;David Fincher;1967-07-25
1905;Ron Perlman;1981-05-01
1906;Jean-Pierre Jeunet;1978-04-18
1907;Daniel Vigne;1968-04-06
1908;Ann Wedgeworth;1966-03-05
1909;Theodore J. Flicker;1953-01-01
1910;Michael Moriarty;1993-01-20
1911;John D. Hancock;1991-10-06
1912;Horst Buchholz;1986-09-06
1913;Raquel Welch;1967-05-11
1914;Eduardo De Filippo;1960-02-08
1915;Peter Cook;1961-12-12
1916;Richard Fleischer;1965-06-11
1917;David Dukes;1956-07-22
1918;James Coburn;1955-11-05
1919;Ernest Borgnine;1957-03-09
1920;Tom Jones;1966-08-24
1921;Diane Venora;1999-07-08
1922;Florence Halop;1978-11-03
1923;Elena Verdugo;1985-11-28
1924;Julius LeFlore;1978-03-10
1925;Cec Verrell;1945-07-21
1926;Judi West;1945-08-20
1927;Billy Wilder;1988-08-17
1928;Charles Winninger;1988-01-07
1929;Arleen Whelan;1985-12-03
1930;Stacy Keach;1941-08-25
1931;Carol White;1975-03-18
1932;Billie Whitelaw;1968-11-06
1933;Bud Yorkin;1977-08-28
1934;Charlie Sheen;1942-01-10
1935;Margaret Whitton;1999-06-15
1936;David S. Ward;1955-12-17
1937;Dianne Wiest;1963-11-12
1938;Peter Falk;1949-01-06
1939;Cindy Williams;1996-01-12
1940;Fernando Lamas;1974-02-14
1941;Esther Williams;1956-11-13
1942;Charles Walters;1973-04-03
1943;JoBeth Williams;1951-11-04
1944;Yahoo Serious;2003-09-15
1945;Pee-Wee Wilson;1984-05-09
1946;Marie Windsor;2006-02-16
1947;John David Garfield;1955-05-04
1948;Virginia Wing;1964-12-12
1949;Donald Wolfe;2001-12-20
1950;Debra Winger;1941-02-26
1951;Don Stroud;2009-03-06
1952;Shelley Winters;1981-06-27
1953;Stuart Heisler;1944-04-24
1954;Oliver Hellman;2007-03-06
1955;D. B. Sweeney;2001-01-13
1956;Kelly Wolf;1964-08-20
1957;Kenneth Madsen;1961-05-26
1958;Gian Maria Volonte;1964-01-19
1959;Sergio Leone;1996-12-18
1960;Danielle Von Zerneck;1941-06-22
1961;Jonathan Betnel;1949-08-18
1962;Natalie Wood;1987-03-03
1963;Ronald Neame;2009-07-26
1964;James Dean;1942-08-08
1965;Richard Beymer;2003-11-17
1966;Joe Dallesandro;2005-02-19
1967;Holly Woodlawn;1999-08-02
1968;Paul Morrissey;1979-05-01
1969;Joanne Woodward;2004-12-13
1970;James Olson;1951-01-01
1971;Robin Wright;1951-08-22
1972;Teresa Wright;1960-05-24
1973;Michael Wilding;1960-09-24
1974;Jane Wyman;1976-01-13
1975;Susannah York;1965-12-04
1976;Christopher Miles;1984-05-04
1977;Gig Young;1988-08-19
1978;S. Sylvan Simon;1952-07-03
1979;Karen Young;1986-09-01
1980;Warren William;1972-04-02
1981;Loretta Young;1959-02-11
1982;Mai Zetterling;1996-09-23
1983;Jasen Fisher;2006-10-10
1984;Jack Paar;1944-04-21
1985;Craig Allen;1989-03-27
1986;Michael Anderson;2003-08-24
1987;Ken Annakin;1973-07-24
1988;Jean-Claude Van Damme;1963-05-23
1989;Newt Arnold;2005-06-21
1990;Taylor Gilbert;1978-09-26
1991;Samson Aslanian;1949-02-23
1992;Bille August;1974-06-18
1993;Harold Becker;1960-08-06
1994;John Lone;1982-10-18
1995;Francesco Rulu;2000-11-03
1996;Pierre Jolivet;1987-02-17
1997;Willy Bogner;1955-10-11
1998;John Boulting;1994-03-01
1999;Karl Malden;1965-04-03
2000;Raymond Cannon;1983-06-01
2001;Henning Carlsen;2010-05-02
2002;Charles Chaplin;1946-09-02
2003;Henri Marchand;1964-09-21
2004;Rene Clair;1977-05-03
2005;Ray Winstone;2008-05-03
2006;Tom Clegg;1980-04-03
2007;June Wilkinson;1956-05-24
2008;Boris Karloff;1945-08-06
2009;Vincent Price;1998-03-09
2010;Paul Hampton;2009-02-03
2011;Cynthia Dale;1970-10-11
2012;John Astin;1995-02-15
2013;John De Bello;1973-12-25
2014;George Wilson;1983-03-12
2015;Jan Jalenak;1967-10-17
2016;Andre Degas;1990-01-12
2017;David Hasselhoff;2010-06-12
2018;Mario Di Leo;1948-10-21
2019;Richard Kiley;1962-09-08
2020;Leon Isaac Kennedy;2002-11-11
2021;Jamaa Fanaka;1994-03-25
2022;John Mills;2004-06-07
2023;Monte Hale;1999-12-09
2024;Philip Ford;1949-11-01
2025;Allan Lane;1970-09-02
2026;Jan Vostrcil;1984-11-22
2027;Bill Forsyth;2009-09-17
2028;Dean Stockwell;1948-09-06
2029;Bruce Gower;1985-10-24
2030;Roger Graef;1968-02-05
2031;Val Guest;1961-09-18
2032;Tarik Akan;1982-09-18
2033;Yilmaz Guney;1968-03-19
2034;Rod Hardy;2000-07-04
2035;Gavin Muir;1987-07-15
2036;Curtis Harrington;1988-03-18
2037;Monte Hellman;1975-09-23
2038;Douglas Heyes;1943-09-23
2039;Robert Donat;1951-02-11
2040;Ray Milland;1993-01-19
2041;Nova Pilbeam;1988-09-10
2042;Jack Elam;1999-05-06
2043;Joy Houck Jr.;1986-01-14
2044;Ben Cross;2010-06-04
2045;Hugh Hudson;2000-01-23
2046;Terry Hughes;1980-08-03
2047;John Irvin;1999-09-12
2048;Mick Jackson;1977-06-19
2049;Paul Reynolds;1952-09-28
2050;Derek Jarman;1992-06-19
2051;Tom Waits;1957-11-26
2052;Sam Waterston;1951-12-20
2053;Terence Ford;1961-02-21
2054;Chris Jones;1985-03-07
2055;Mikhail Kalatozov;1958-06-17
2056;Ray Kellogg;2010-07-27
2057;Doug English;1949-01-28
2058;Burt Kennedy;1944-05-05
2059;Tod Slaughter;1984-12-28
2060;George King;1947-09-09
2061;Malcolm McDowell;1993-06-11
2062;Susumu Fujita;1959-05-14
2063;Setsuko Hara;1995-04-14
2064;Toshiro Mifune;1953-12-05
2065;Tatsuya Nakadai;1940-02-22
2066;Takashi Shimura;1956-07-17
2067;Tom Berlin;1961-06-18
2068;Alfred Abel;1951-01-17
2069;Carl De Vogy;1970-07-09
2070;Rudolf Klein-Rogge;2004-05-08
2071;Denzel Washington;1952-09-01
2072;Seamus Ford;2007-02-13
2073;Biddy W. Lennon;1969-06-24
2074;Malcolm Leo;1985-11-19
2075;Perry King;1959-10-07
2076;Mark L. Lester;2006-10-15
2077;Richard Harris;1962-06-13
2078;Frank Lloyd;1961-07-08
2079;Robert Walker Jr.;1972-04-22
2080;Maurizio Lucidi;1967-12-06
2081;Larry Ludman;1943-12-08
2082;John Ethan Wayne;1945-09-03
2083;John Nance;1965-02-17
2084;Alec Guinness;2007-09-10
2085;Alexander Mackendrick;1996-11-03
2086;Ian MacNaughton;1947-10-20
2087;Pat Crowley;1998-10-27
2088;Vincent McEveety;1957-02-05
2089;William McGann;1984-10-01
2090;Vaclav Neckar;1944-02-20
2091;Jiri Menzel;1953-08-08
2092;David Miller;1980-11-13
2093;Don Mischer;1947-09-13
2094;Gary Nelson;2000-03-07
2095;Mike Newell;1996-11-03
2096;John Jarratt;2001-11-07
2097;Arch Nicholson;1979-01-18
2098;Barry Newman;2005-01-08
2099;William Nigh;1960-06-10
2100;Colin Firth;1980-05-24
2101;Pat O'Connor;1997-12-22
2102;Tim Conlon;1959-09-27
2103;Ron Oliver;2006-07-18
2104;Cliff Owen;1968-06-27
2105;Richard Patterson;1978-09-15
2106;Sam Peckinpah;1995-08-03
2107;Leo Penn;2002-10-19
2108;Etienne Perier;1954-10-09
2109;Daniel Petrie;2009-10-17
2110;Gillo Pontecorvo;1982-05-28
2111;Albert Pyun;1958-02-15
2112;Richard Quine;1983-12-20
2113;Pepper Martin;1972-04-21
2114;Byron Quisenberry;1991-05-12
2115;Derek De Lint;1950-03-08
2116;Fons Rademakers;1942-10-04
2117;Jerry Reed;1956-10-06
2118;Roger-Pierre;1960-06-15
2119;Gary Grimes;1993-10-18
2120;John Mark Robinson;2003-09-05
2121;Cecil Taylor;1945-07-06
2122;Sheldon Rochlin;1971-04-04
2123;Whip Hubley;1953-09-25
2124;Jonathan Sanger;2010-09-16
2125;Bulle Ogier;1974-07-26
2126;The Fat Boys;1960-02-18
2127;Michael Schultz;1980-07-16
2128;Garrison Keillor;1976-09-25
2129;Herb Sevush;1965-03-14
2130;Dwight Schultz;2007-01-07
2131;Jack Sholder;1964-01-28
2132;Robert Siodmak;1968-12-02
2133;Jack Smight;1996-12-26
2134;Dennis Weaver;1979-12-10
2135;George Stevens Jr.;1991-03-13
2136;Lars Hanson;1991-02-01
2137;Mauritz Stiller;2000-03-20
2138;Peter Breck;1989-05-16
2139;Herbert L. Strock;1954-07-05
2140;Mel Stuart;1955-01-21
2141;Jeannot Szwarc;1965-11-19
2142;Norman Taurog;1965-03-11
2143;Gavin Taylor;1986-08-13
2144;Ben Gazzara;1969-02-12
2145;Buck Jones;1996-08-11
2146;Lash LaRue;2003-08-14
2147;David Cassidy;1942-05-04
2148;Roderick Taylor;1994-08-10
2149;Gerald Thomas;1972-05-18
2150;Jacques Tourneur;1970-12-16
2151;Andrzej Wajda;1947-08-06
2152;Francis Veber;1983-07-20
2153;Pierre Richard;1982-08-27
2154;Rudiger Vogler;1948-12-16
2155;Peter Werner;1958-11-09
2156;Jack Benny;2005-07-11
2157;Rupert Everett;1948-10-04
2158;Dick Foran;1958-07-27
2159;Montgomery Ford;1952-05-11
2160;John Gielgud;1951-06-22
2161;Gene Kelly;1997-01-14
2162;Jay Leno;1983-12-22
2163;Patrick Lowe;1987-04-14
2164;Howie Mandel;1955-08-22
2165;Branford Marsalis;1957-02-27
2166;Tim Matheson;1940-02-15
2167;Rick Moranis;1975-08-12
2168;Paul Naschy;1996-02-26
2169;J. P. Pennington;1990-11-28
2170;Ronald Reagan;1997-02-15
2171;Robby Rosa;1988-06-27
2172;Russ Tamblyn;1973-06-13
2173;Dub Taylor;1979-08-13
2174;James Taylor;1944-01-18
2175;Kent Taylor;1974-08-24
2176;Clint Walker;1946-01-22
